kaeper0,kaeper1,kaeper2,t
0.709433137766,2.01887035857,2.39670112174,2017-08-15
1.2318896679,2.0536039511,3.00609360586,2017-08-19
1.13930099474,3.13072571589,1.68998477066,2017-08-20
0.924036453788,1.71610960319,2.30910839276,2017-08-22
2.96997544117,2.92071854285,2.07333054016,2017-08-26
1.13331695121,2.69420846168,1.85132867099,2017-08-30
0.78062465797,2.99868970249,1.70066842746,2017-08-31
1.08983753901,1.97556006871,1.79700457986,2017-09-03
0.779639544543,2.41132366124,3.25033670847,2017-09-04
0.614412598085,2.36505983789,2.91193972804,2017-09-08
3.1412319288,1.94662016408,3.72318384238,2017-09-09
2.5173241624,1.71755695101,2.5093089161,2017-09-13
1.99179038591,3.10563654802,2.94824652556,2017-09-17
0.860810791612,2.5537218777,2.76150409306,2017-09-18
1.36693933185,2.34755179999,2.57962507434,2017-09-18
1.57465566134,2.49092036691,3.05229228319,2017-09-25
1.48092885347,2.13809150908,1.66148899059,2017-09-25
0.993476848512,1.72704488156,2.73040612425,2017-09-26
1.91582165121,2.3371501594,1.98890170884,2017-09-27
0.920699351973,1.88383997333,1.87664390305,2017-09-28
1.40521533083,1.81794684179,1.7862720962,2017-09-30
1.41417589439,1.76676013908,2.65759627291,2017-09-30
1.60851662943,1.98179948422,3.75678239939,2017-10-03
0.583214311283,2.74926073271,2.45514298635,2017-10-09
1.14810172334,2.58310696161,2.60859490408,2017-10-14
1.66568412478,2.30879064806,2.30036210281,2017-10-21
0.857114205111,2.09600992189,3.25896199223,2017-10-22
0.802804594872,1.47771803538,2.23295112153,2017-10-26
1.37042980008,2.05445066483,2.19871267987,2017-10-26
1.27039359582,1.76470716226,1.86657474953,2017-11-02
0.673568703231,2.675302725,1.63142719674,2017-11-02
1.86304950968,3.12244010398,3.10124848101,2017-11-03
0.771889855769,2.54567618898,2.86075987619,2017-11-05
1.19931277779,1.79977398033,2.29317540801,2017-11-05
0.652228896049,1.57621268905,1.74350905166,2017-11-09
1.12554164474,1.77905295695,2.13005405172,2017-11-12
1.14697196082,2.03438599991,2.84134594178,2017-11-16
2.10681408797,2.623514556,2.0186471736,2017-11-20
2.22279330802,1.67745945609,1.67241675046,2017-11-22
0.965718110314,1.91346001234,3.14856042106,2017-11-25
1.7626216062,1.6026932723,1.95826849099,2017-11-26
1.23899254716,1.49135815884,3.37278705593,2017-11-27
0.608165559629,2.83518019563,1.72277314878,2017-12-01
0.553827082851,2.30768781837,2.99034801505,2017-12-03
1.25605304037,2.75352046891,2.0721493833,2017-12-05
0.862241329468,2.68784826026,1.92289035155,2017-12-06
1.01675322623,1.61506376228,1.95856327804,2017-12-07
1.49812266456,2.61049348245,2.15457251323,2017-12-11
0.69194080814,3.26434202176,1.87787940812,2017-12-14
1.70495514305,1.90061874516,2.69739164059,2017-12-18
0.785619013646,2.23489400625,2.18735640282,2017-12-18
1.56540207972,1.99320528837,2.60208206681,2017-12-20
1.61501587529,2.8211443585,2.2166066786,2017-12-30
1.9422549242,2.21839405339,2.02168079023,2018-01-03
0.64606939897,1.6334274579,2.059651998,2018-01-04
1.31097348601,2.4629277366,2.11381135267,2018-01-04
1.79923116071,1.84965293165,2.68466946001,2018-01-05
0.67342658694,1.886283175,2.55983600911,2018-01-06
1.95671409529,2.14955651889,2.90191812477,2018-01-06
0.956430123857,1.93280947935,1.90338440698,2018-01-09
1.00711654141,2.0483859519,5.22496699558,2018-01-12
0.738006398395,1.97454831856,2.75966004853,2018-01-15
1.22570366718,1.96494937043,1.80817496473,2018-01-15
1.24832379387,1.94291509397,1.80087067503,2018-01-16
0.860263105556,1.5670629372,2.22250663491,2018-01-22
2.1278025673,2.62024800553,2.62804884487,2018-01-28
1.17981303988,2.455675286,2.2332238287,2018-01-28
0.603320268252,1.53440620763,3.56533737421,2018-02-10
